Site,Target,RMSE,MAE,Bias,R²,Train_RMSE,Train_MAE,Train_Bias,Train_R²,Overfitting,Best_Iteration
1,O3,9.581424855413593,5.250041669573499,1.4634907030151132,0.9320396627618153,8.066054051034126,4.5309974743097765,0.007226081486739653,0.9342314013635784,No,350
1,NO2,19.68526451772907,9.660569374762387,-4.677808529172078,0.7694171268869973,7.417248595265445,4.576162321444542,-0.01150865326537653,0.9137452124358709,No,140
2,O3,8.998562103686195,4.7584710293955075,1.064488891921656,0.9171169658371512,6.1859210339801125,3.9592055137689575,-0.0005345862252938288,0.9578363366076963,No,560
2,NO2,9.91592608005729,6.322188698700051,-0.9619204353507046,0.8658798789933164,6.318778931285085,4.243227305123458,-0.004075601352037571,0.922029359707469,No,300
3,O3,13.169987484802995,7.094229854717568,0.8516248019448849,0.9064446061105171,8.881518049811174,5.437544718268484,-0.0031329957503914638,0.9503142746745263,No,480
3,NO2,16.803808309580077,9.670588586149792,-1.9106915969920881,0.8599639798290775,8.596614432840603,5.626688964119716,0.019273717990149777,0.9291115883997418,No,280
4,O3,9.531223305371997,6.148777083875531,0.48391950389386235,0.9416923382813406,7.80978922176891,5.202633100978584,-0.011025757697526246,0.9534801438146923,No,440
4,NO2,9.610242466189934,6.352226916439513,-1.1603163562065515,0.875990849265814,7.666208080484144,5.162650795095632,0.002882431642729123,0.8767062818338456,No,230
5,O3,8.819533360700405,4.954200528960813,1.3042530057571002,0.9181915757968063,6.862636496468586,4.39446642949596,0.0019155294657575593,0.9545522489304278,No,600
5,NO2,12.404308379303805,7.885523162806476,-2.7211768075801706,0.8783090476634986,7.131142021882544,4.842941710856301,-0.007817366574423805,0.9507860032011851,No,620
6,O3,8.96360274105755,4.818438224015826,0.6285565861113819,0.883118191176487,7.353261517902251,4.056698633468677,-0.005468667142818434,0.9223436996996669,No,340
6,NO2,8.952911169916133,5.485958571004685,-1.4932139614532731,0.8203371786653773,5.443810844967736,3.529634027483708,-0.0005015863157215706,0.902517447573969,No,330
7,O3,10.740287926602303,6.548180201906499,1.5028147686109312,0.9293821306048642,9.524921285851264,6.002234515919525,-0.005803829481393686,0.9339917903643452,No,320
7,NO2,12.210657100484248,7.450833090146383,-1.7050681004485462,0.8167182681757152,7.246747824852745,4.443041896241976,0.002072722748109953,0.8934136138659691,No,180
