Site,Target,RMSE,MAE,Bias,R²,Train_RMSE,Train_MAE,Train_Bias,Train_R²
1,O3,14.205921497433552,8.728536549943698,0.10535119102655577,0.8017314267740668,4.477726930882909,3.0095351448019154,-0.0029796750799317155,0.9797128548959868
1,NO2,12.261547511811058,8.17311133820441,-0.0059674207214841365,0.8094225422510755,4.2012222838815765,2.9658620446368698,-0.003110338489371281,0.9780222732740348
2,O3,14.055186109425726,9.021385904864147,0.21091045954424298,0.7893345429565881,4.651983988597447,3.2174222463944724,0.00159889753911054,0.9759794424737832
2,NO2,10.915255796825585,7.614551063442304,0.26879619039385694,0.7935815182221102,4.156549733208325,2.993369420300609,-0.005208606985301007,0.9712308248037664
3,O3,16.72221894781704,11.020120480867988,0.41186513905581096,0.8277440517048383,5.555305220967749,3.806886695986206,-0.0037105437430238757,0.9809819588462387
3,NO2,15.837030943171971,11.214611443562674,-0.021067575052832736,0.8014953181540492,5.411544320766791,3.9421660630970567,-0.005099682119153819,0.977181506559705
4,O3,14.442192827843163,10.193098641805955,-0.08087223593543134,0.8432756491881721,5.137298760898429,3.6988295086144096,-0.0013228840447340583,0.9799926028910841
4,NO2,11.63072940171454,8.428022278627797,-0.047921790866018915,0.7449681643136755,4.355147254977395,3.1722790228338464,-0.004583315403515957,0.9662741156631061
5,O3,13.41206478504558,8.828271045632482,-0.008829223328801514,0.8182465358625133,4.515049431865167,3.1582700285220153,-0.0027436858127740274,0.9795984354481926
5,NO2,15.612428031303436,10.778688169635814,-0.26932061921416794,0.8030740046303169,5.289473671431031,3.793059982025262,-0.002449252124418295,0.97642992172411
6,O3,13.008307984302288,7.8359552381583315,-0.17108551179239254,0.755727999577413,4.389086818347775,2.9500098319534014,-0.0034882636356099775,0.9708097822810735
6,NO2,9.825149229639754,6.73122532828616,-0.0624874883773114,0.7229761099953276,3.58414412702742,2.5660130873503153,-0.0031563944986678313,0.9615132210074643
7,O3,15.423616809631438,10.660939711682184,-0.49769984069393985,0.8273405392421787,5.157490286084254,3.6730300568562346,-0.005432032098334609,0.9802359436507989
7,NO2,11.6599056608777,7.8767966048239595,0.0837564760002392,0.7544520749376754,3.971680258821626,2.849343088475156,-0.004295471481994012,0.9718659072766185
